,composer,midi_list
14,Alexander Scriabin,-1 -1 -1 ... -1 -1 -1
15,Alexander Scriabin,-1 -1 -1 ... -1 -1 -1
16,Antonio Soler,-1 -1 -1 ... 73 71 -1
17,Claude Debussy,-1 -1 -1 ... 25 32 25
18,Claude Debussy, -1  -1  -1 ... 106 104 104
19,Claude Debussy,-1 -1 -1 ... -1 -1 -1
20,Claude Debussy,"-1 -1 -1 -1 -1 80 76 -1 78 74 76 72 74 70 72 84 80 82 78 -1 -1 80 76 74
 72 76 74 70 72 68 -1 70 66 68 64 62 60 34 34 34 34 34 56 44 58 46 60 48
 34 34 34 34 44 56 58 46 60 48 34 34 62 80 50 76 34 74 72 70 72 34 64 52
 62 50 60 48 58 80 76 56 58 78 74 76 72 74 70 68 72 56 56 44 70 68 34 64
 62 64 60 34 56 44 34 34 80 34 76 60 64 78 74 76 72 70 58 70 62 68 72 60
 64 34 34 84 82 78 34 80 34 76 64 60 74 72 74 70 70 72 66 68 72 60 64 34
 34 70 70 34 72 72 34 68 64 60 74 78 70 58 62 74 -1 72 68 60 34 76 72 34
 78 74 34 76 80 76 34 86 74 62 98 74 62 68 70 68 66 34 68 72 64 70 66 60
 54 68 70 60 68 66 34 68 62 72 64 70 66 60 54 68 72 76 60 80 62 74 76 72
 74 70 60 54 72 68 70 60 72 34 66 62 64 68 60 54 70 70 60 64 34 70 66 62
 64 68 60 54 60 62 60 54 68 70 68 60 66 68 72 64 70 74 72 68 76 80 70 72
 68 70 76 68 66 68 62 64 72 70 74 72 68 76 70 80 72 74 82 80 76 82 74 78
 79 76 80 86 85 84 84 74 78 79 76 81 86 85 84 76 84 74 80 76 86 76 74 76
 86 76 74 34 76 68 86 64 60 80 80 76 70 82 62 74 76 72 68 84 60 64 76 74
 76 86 76 74 62 70 86 76 86 76 34 76 88 72 68 74 86 70 76 72 60 84 68 64
 76 70 82 58 66 74 68 80 60 64 70 62 82 58 86 76 74 76 60 68 80 56 86 76
 74 64 80 60 56 76 86 76 74 34 76 86 76 56 62 70 58 68 60 50 62 72 60 58
 34 56 70 58 68 60 50 62 72 60 70 58 74 66 68 72 60 58 70 56 74 54 62 68
 66 60 72 58 70 56 74 54 62 60 58 56 58 56 34 58 56 54 51 56 58 61 63 68
 73 75 78 80 82 85 82 83 56 66 58 68 54 34 56 68 68 54 52 63 51 61 54 56
 61 63 68 73 75 77 87 89 97 96 94 75 51 82 80 54 78 63 78 70 82 72 75 88
 73 90 87 85 85 73 82 73 61 68 49 75 63 75 63 54 66 34 78 73 61 68 49 75
 63 54 66 34 73 68 61 49 56 75 63 75 66 54 34 82 70 73 61 49 68 75 63 54
 75 66 34 34 34 34 54 56 58 60 62 66 68 70 72 74 46 34 56 58 60 62 64 68
 70 74 76 46 34 54 80 56 58 60 62 66 68 74 82 84 46 34 56 58 60 62 64 68
 70 72 74 76 86 46 34 88 54 56 58 60 62 66 68 74 86 84 46 82 34 80 82 56
 58 60 62 64 68 70 72 74 76 80 46 92 34 84 48 58 54 80 72 58 52 60 84 54
 34 54 56 58 60 62 66 68 70 72 74 46 94 34 86 90 82 60 80 82 54 74 94 56
 62 34 56 58 60 62 64 68 70 72 74 76 46 92 34 84 48 58 80 80 52 62 58 76
 54 78 74 76 72 70 72 34 60 50 84 80 82 64 78 54 66 62 56 84 82 48 58 54
 80 80 62 76 52 58 60 54 78 74 76 72 70 68 72 34 60 50 64 60 54 70 66 68
 64 54 62 64 60 56 58 60 62 64 66 68 70 72 74 66 54 62 60 64 56 58 60 62
 64 66 68 70 72 74 66 62 62 60 66 54 62 64 60 -1 -1 -1 56 58 60 62 64 66
 68 70 72 -1 74 60"
21,Claude Debussy,-1 -1 -1 ... 66 42 -1
22,Claude Debussy,-1 -1 -1 ... -1 -1 -1
23,Claude Debussy,-1 -1 -1 ... 37 -1 -1
24,Claude Debussy,-1 -1 -1 ... -1 30 30
25,Claude Debussy,-1 -1 -1 ... 31 90 30
26,Claude Debussy,-1 -1 -1 ... 33 57 55
27,Claude Debussy,-1 -1 -1 ... 97 85 -1
28,Claude Debussy, -1  -1  -1 ... 104  25  -1
29,Claude Debussy,-1 -1 -1 ... 61 -1 94
30,Claude Debussy,-1 -1 -1 ... -1 -1 -1
31,Claude Debussy,-1 -1 -1 ... -1 -1 23
32,Claude Debussy,-1 -1 -1 ... 40 -1 23
33,Claude Debussy,-1 -1 -1 ... 40 -1 21
34,Claude Debussy,-1 -1 -1 ... 21 -1 21
35,Claude Debussy,-1 -1 -1 ... 45 -1 21
36,Claude Debussy,-1 -1 -1 ... -1 21 23
37,Claude Debussy, -1  -1  -1 ... 107 104 102
38,Claude Debussy,-1 -1 -1 ... -1 -1 -1
39,Claude Debussy,-1 -1 -1 ... 32 32 25
40,Claude Debussy,"-1 -1 -1 -1 -1 -1 -1 62 -1 64 -1 -1 62 64 65 -1 -1 -1 62 64 70 62 64 65
 72 74 62 64 76 74 62 64 65 -1 72 -1 70 67 62 64 72 62 64 69 65 62 43 59
 50 64 69 64 57 41 48 43 65 71 62 47 55 40 64 72 38 64 53 57 65 74 76 72
 69 67 64 60 62 42 48 58 64 43 44 64 59 49 65 37 48 62 58 42 64 43 59 64
 49 44 65 49 58 62 64 57 59 64 56 61 65 49 53 62 60 64 59 44 43 49 64 58
 54 65 -1 51 48 46 44 48 49 65 51 54 58 48 46 44 48 42 52 59 36 76 64 42
 36 80 35 34 34 34 62 64 55 64 62 56 65 58 62 64 72 55 64 56 62 65 68 58
 62 64 55 76 64 56 62 65 74 72 68 58 62 64 76 64 62 74 65 72 70 67 69 50
 62 43 59 64 69 64 41 57 48 65 71 62 55 40 64 71 64 44 37 59 65 75 71 64
 56 59 65 73 70 68 44 37 64 53 59 65 75 71 64 56 65 73 75 77 38 64 60 54
 65 80 77 39 64 61 55 65 77 73 64 56 62 40 65 73 70 68 65 62 55 58 64 64
 57 61 54 65 62 60 53 56 57 64 -1 59 53 64 45 38 57 65 60 62 53 56 64 59
 64 65 75 71 73 70 68 63 66 58 61 65 65 59 56 75 71 61 66 58 73 75 63 68
 59 77 -1 65 70 61 83 63 66 80 68 73 80 71 75 77 80 73 85 77 80 73 86 74
 88 76 73 70 88 76 74 89 70 67 76 86 74 88 73 70 88 74 76 89 77 70 67 62
 55 -1 50 43 38 31 89 86 77 26 -1 -1 -1 -1 -1"
41,Claude Debussy,-1 -1 -1 ... 85 -1 -1
42,Claude Debussy,-1 -1 -1 ... -1 -1 -1
43,Claude Debussy,-1 -1 -1 ... 36 41 53
44,Claude Debussy,-1 -1 -1 ... 25 -1 25
45,Claude Debussy,"-1 -1 -1 -1 -1 -1 -1 44 -1 37 -1 52 45 57 50 52 45 44 -1 37 52 45 -1 57
 50 52 45 44 37 -1 44 37 44 -1 52 45 44 37 44 37 44 59 -1 37 44 37 44 53
 37 44 37 44 37 44 37 60 44 37 44 37 62 44 37 53 59 64 64 37 64 44 62 37
 59 53 64 64 44 37 64 44 37 64 65 44 68 65 37 64 44 59 37 44 37 64 44 37
 59 65 68 44 71 68 65 64 37 44 63 60 63 64 59 53 65 68 44 71 68 37 64 65
 44 63 60 59 60 63 37 64 59 53 44 37 44 37 44 37 44 63 64 63 60 59 56 37
 53 52 52 44 52 37 51 44 37 53 51 50 50 44 37 50 49 37 53 49 44 37 44 37
 44 37 44 55 60 76 74 67 72 64 70 -1 44 37 -1 44 37 44 37 44 37 53 50 49
 49 44 37 44 37 44 37 44 55 58 76 62 64 67 76 76 44 64 76 37 64 77 65 44
 76 53 56 58 74 68 65 62 70 74 62 74 44 74 37 62 76 44 74 51 54 56 72 63
 70 68 66 60 44 37 44 37 50 71 53 69 55 57 65 62 59 51 72 70 56 58 68 63
 60 44 37 44 37 50 71 69 55 57 59 62 37 53 44 37 52 44 55 37 53 59 53 44
 37 52 44 55 37 58 59 63 55 53 44 64 60 37 65 61 44 62 37 63 59 55 53 44
 64 60 37 65 44 66 62 37 67 60 65 72 75 44 37 60 60 66 44 63 37 62 66 75
 74 74 77 78 77 76 44 37 65 53 57 63 65 65 44 37 64 64 44 37 44 37 70 61
 44 37 75 68 70 44 63 37 70 63 72 65 69 44 67 37 65 44 70 64 37 66 62 67
 64 44 65 60 37 71 64 44 62 37 68 61 44 37 44 44 37 52 45 57 50 52 45 44
 37 30 52 45 57 50 50 42 41 34 36 27 53 55 78 70 58 41 34 32 67 79 41 78
 34 72 41 81 53 58 62 65 78 74 70 79 79 67 41 34 78 84 41 81 78 73 70 66
 64 58 41 34 41 34 79 67 41 34 84 72 41 81 53 58 61 78 73 66 79 67 41 34
 84 41 81 69 50 34 42 50 34 41 58 50 50 34 42 41 50 34 41 58 48 57 49 41
 57 40 47 56 48 39 55 47 45 38 46 50 42 41 34 61 57 52 50 42 41 34 60 55
 66 60 67 58 56 65 68 62 41 68 62 76 67 65 68 56 41 68 62 34 41 68 56 59
 65 75 67 87 79 86 66 62 66 65 61 68 61 59 68 59 60 76 66 67 75 59 68 75
 68 58 74 64 64 57 73 66 72 65 62 60 53 68 59 61 57 65 56 50 58 60 68 61
 53 65 57 44 61 55 58 54 60 64 56 55 65 61 57 55 55 58 64 54 60 56 65 44
 57 55 64 60 54 58 56 43 46 44 67 59 37 53 44 37 44 37 44 37 44 37 44 37
 60 44 37 53 44 37 62 44 37 59 53 64 64 44 37 67 64 44 65 62 37 59 53 64
 64 44 37 67 64 65 44 62 37 67 64 44 68 71 68 37 67 64 44 37 59 53 44 37
 64 44 37 59 53 68 65 44 71 74 71 68 64 67 37 44 65 64 61 60 59 56 37 53
 52 52 44 37 52 51 44 37 53 51 50 50 44 37 50 49 44 37 53 49 44 37 44 37
 44 37 44 55 76 58 74 60 72 62 70 67 64 44 37 44 37 44 37 44 37 53 50 49
 49 44 37 44 37 44 37 44 69 90 76 88 86 78 84 81 90 78 90 78 60 90 78 91
 79 90 78 67 70 88 74 82 76 84 79 -1 88 88 60 88 90 78 88 76 75 73 65 63
 61 53 -1 -1 44 37 44 37 44 37 44 37 44 37 44 37 -1 -1 -1 -1"
46,Claude Debussy,-1 -1 -1 ... 63 65 -1
47,Claude Debussy,"-1 -1 -1 -1 -1 -1 68 -1 59 68 59 68 59 70 59 62 -1 68 59 62 64 56 59 -1
 -1 67 91 59 92 91 90 89 90 89 86 85 84 83 80 71 79 80 79 78 65 77 78 77
 74 55 73 72 71 68 59 67 66 65 62 61 59 53 56 -1 25 -1 68 80 65 61 56 59
 53 25 80 68 68 62 77 56 68 70 62 68 66 60 68 70 77 59 56 70 68 65 63 60
 80 68 58 61 77 57 63 60 61 25 53 91 92 91 90 71 89 90 89 86 65 85 84 83
 80 67 79 80 79 78 59 78 77 74 73 25 72 71 68 67 68 67 66 65 62 61 60 59
 56 55 54 53 50 49 48 47 43 41 40 39 27 87 75 63 87 63 75 90 87 63 66 88
 64 71 90 87 78 75 63 58 86 82 74 73 85 61 49 44 25 37 46 22 34 86 82 74
 65 58 53 -1 65 58 61 65 58 69 58 53 72 58 86 81 77 74 75 69 65 53 65 22
 58 61 58 69 58 72 58 86 81 77 74 75 69 65 53 86 81 77 74 75 69 65 63 53
 56 59 63 65 68 71 75 80 83 87 87 83 75 63 59 56 53 86 64 85 65 80 61 56
 59 84 72 66 85 73 65 86 64 87 83 53 56 63 94 68 62 59 89 82 77 70 92 83
 63 71 90 72 78 85 73 79 67 53 61 25 80 68 54 80 61 59 79 55 79 67 78 85
 66 56 73 61 77 57 77 65 78 79 67 53 61 25 85 73 80 80 68 61 79 79 67 53
 61 25 85 73 80 68 79 67 61 80 53 85 81 69 73 61 25 82 82 54 70 59 61 81
 69 69 81 82 85 70 59 61 81 81 69 56 80 85 79 73 62 57 59 64 83 67 83 79
 85 79 85 64 76 83 83 77 71 85 90 86 32 78 44 54 47 89 56 59 54 86 35 86
 47 85 50 56 73 82 86 83 59 85 62 56 82 84 38 82 50 70 56 59 79 83 71 82
 70 78 65 81 73 72 76 54 64 50 32 75 63 72 76 61 55 75 71 74 70 56 52 80
 76 78 74 46 48 76 72 50 60 32 75 63 76 72 61 75 71 52 56 70 81 77 53 69
 57 76 58 64 59 79 55 75 67 32 78 66 74 75 60 78 74 77 65 83 43 79 31 77
 69 87 69 83 63 81 81 91 79 61 65 89 77 77 84 89 65 91 72 60 84 64 27 39
 71 70 51 55 92 28 88 40 88 87 27 27 39 72 63 51 67 91 84 88 36 31 24 95
 91 43 76 64 59 55 99 96 87 32 39 29 89 74 62 53 60 94 90 27 87 34 71 63
 70 51 88 88 83 40 28 40 28 87 39 91 39 27 72 60 70 51 88 84 31 91 43 38
 38 43 79 67 59 50 43 38 43 79 55 67 53 82 56 68 53 77 80 59 88 76 77 68
 86 74 66 79 67 53 26 50 31 43 55 83 74 79 59 26 50 55 43 31 83 83 79 55
 56 68 85 59 65 88 76 76 59 91 79 67 94 74 77 80 82 68 80 53 59 63 65 68
 71 75 99 92 95 87 63 98 64 53 61 65 68 71 73 77 97 85 95 92 65 96 78 66
 97 65 77 64 98 53 59 63 65 68 71 99 87 92 95 63 82 77 65 80 72 68 57 54
 49 30 73 61 78 61 66 73 72 73 72 61 55 60 59 79 67 58 91 58 70 71 59 80
 72 68 54 57 49 -1 30 73 61 78 73 66 61 60 72 73 53 60 61 55 59 67 71 70
 91 70 58 71 59 65 53 67 55 47 59 53 41 55 43 47 35 77 59 56 67 42 30 68
 67 66 65 66 65 62 61 60 59 56 47 77 73 59 53 56 79 42 30 80 79 78 77 78
 77 74 73 72 71 67 70 66 70 66 61 70 61 71 67 70 66 65 61 68 64 59 73 61
 71 67 62 85 71 62 67 68 64 59 65 60 72 63 62 71 67 97 71 74 67 66 73 78
 85 90 97 91 72 74 86 76 83 97 90 91 84 72 74 86 81 88 83 66 73 85 78 90
 97 91 72 79 86 81 88 76 90 78 84 72 86 74 95 88 76 54 67 73 70 61 67 54
 73 70 61 -1 37 -1 -1 97 30 -1"
48,Domenico Scarlatti,-1 -1 -1 ... -1 -1 57
49,Domenico Scarlatti,"-1 -1 -1 60 65 65 64 62 62 60 58 57 58 60 62 72 64 -1 65 77 77 58 72 62
 70 69 70 60 72 60 70 70 69 72 67 67 65 79 79 77 76 76 74 72 60 64 67 65
 67 57 67 69 65 60 53 65 48 53 53 60 57 65 65 64 55 53 69 69 72 57 65 77
 76 53 81 48 77 77 76 55 72 71 72 48 43 48 48 47 55 52 60 60 59 50 64 48
 64 43 52 60 72 71 50 48 -1 76 76 43 79 74 52 84 84 83 48 53 81 81 79 55
 77 57 76 74 59 72 74 72 71 78 45 79 55 67 79 71 71 72 62 74 60 59 77 60
 67 79 76 79 55 67 71 71 72 62 74 60 59 77 60 67 35 84 65 74 69 81 71 72
 74 72 67 72 60 55 79 67 71 71 72 74 74 60 59 77 60 43 55 67 79 71 71 72
 74 74 60 59 77 60 43 84 65 84 74 69 81 71 72 74 72 67 71 72 60 72 53 62
 57 69 59 60 62 60 55 48 69 76 45 69 74 69 73 69 71 69 73 57 65 71 64 73
 57 62 61 76 69 57 62 79 55 77 70 76 57 70 58 57 76 73 69 55 53 77 74 79
 55 77 57 76 58 57 69 73 55 74 79 55 77 76 57 58 74 57 76 77 76 77 76 77
 76 45 77 70 80 34 70 75 70 77 70 72 68 70 58 72 74 74 58 63 77 62 80 70
 58 63 75 80 56 79 72 72 77 58 60 72 74 77 58 56 75 80 79 72 58 77 75 60
 58 74 77 56 75 80 72 58 60 77 74 58 46 51 51 58 55 63 63 53 62 51 67 67
 50 55 70 70 53 65 74 74 73 64 62 77 77 76 60 81 81 59 80 57 84 84 59 60
 81 81 57 79 62 50 76 52 72 59 71 69 57 71 52 52 57 57 64 60 69 69 68 59
 57 72 72 55 60 76 76 74 58 79 79 78 82 67 82 81 65 86 86 85 62 50 89 52
 53 86 86 50 55 62 81 53 52 77 79 50 77 76 83 77 48 84 72 76 77 57 77 55
 53 81 79 48 72 76 77 79 77 55 53 48 60 72 84 76 76 77 79 79 65 64 82 82
 65 48 84 81 60 84 72 76 76 77 79 79 65 64 82 65 48 89 70 79 74 86 76 69
 79 70 81 77 72 65 60 84 72 76 76 77 79 79 65 64 82 65 48 81 60 72 84 76
 76 77 79 79 65 64 82 65 48 89 70 79 74 86 76 69 79 70 81 77 72 65 77 58
 67 62 60 74 64 69 67 58 65 64 65 72 48 70 53 41 72 48 70 53 72 48 70 53
 -1 -1 76 48 41"
50,Domenico Scarlatti,-1 -1 -1 ... 41 -1 -1
