text;gender;age;politics
"Casamento é um compromisso entre duas pessoas que se gostam e que desejam compartilhar sua vida juntos, não acredito que isso deva ser limitado devido ao sexo delas. Quando isso é negado, essas pessoas deixam de usufruir de alguns direitos civis (herança, fidelidade, família) que são direitos importantes para pessoas que desejam compartilhar suas vidas. A principal funcionalidade de uma arma é matar, podendo ser um humano ou um animal, e só por esse motivo já seria suficiente para mim proibir o porte de armas, sou contra tirar a vida de forma geral. Também posso dizer que a maioria das pessoas não consegue se controlar em um momento de fúria, e no dia-a-dia estressante das cidades, podemos ter um aumento no número de tragédias se mais pessoas tiverem acesso a armas. O principal motivo pela legalização do aborto é do domínio do corpo da mulher sobre seu próprio corpo. Antes de tudo, é sempre preciso lembrar que o corpo é da mulher e portanto é ela quem deve decidir sobre fazer ou não o aborto, afinal de contas é o corpo dela que irá gerar o feto e portanto é ela quem deve decidir por dar ou não continuidade sobre o feto. Não estamos falando aqui sobre parar uma vida ou não, afinal de contas existe muita controvérsia sobre o momento em que pode-se considerar que existe vida. Eu sou contra a pena de morte principalmente porque na maioria dos casos quem enfrenta a pena são pessoas que foram negligenciadas durante anos pela sociedade (família, amigos, conhecidos) e pelo governo como um todo. São pessoas que têm suas vidas tiradas a força e que muitas vezes durante uma vida inteira foram negligenciadas. Não estou discutindo o ponto de olho por olho, dente por dente, onde muitos acreditam que quando alguém mata alguém também deva ser morto, estou focando mais no ponto que muitas pessoas não teriam que enfrentar a pena de morte caso não fossem negligenciadas. Basicamente se o álcool e o cigarro são legalizados, então a maconha e qualquer outra droga também deveriam ser legalizadas. Dessa forma poderíamos ter regras para definir qual a qualidade aceitável para esses produtos, poderíamos recolher impostos e também poderíamos ter regras para sua utilização. Hoje em dia temos o consumo não legalizado e muito fácil e não temos nenhum dos pontos que nos tragam vantagem. Sem contar na ""guerra"" contra o tráfico que por não ter fim mostra que o caminho não é esse. Diminuir a maioridade penal não resolve o problema da criminalidade, hoje só temos menores na vida do crime por causa de falta de estrutura no país, muitas famílias carentes e expostas a violência diariamente e falta de visão de futuro para esses adolescentes. Apenas reduzindo a maioridade irá fazer os criminosos procurar adolescentes cada vez mais jovens para cometer os crimes por eles. Também podemos dizer que é cientificamente comprovado que o cérebro do adolescente ainda não está desenvolvido completamente para entender o tipo de punição que é feita no sistema prisional. E também temos o sistema prisional brasileiro, que ao invés de recuperar as pessoas que cometeram crimes acaba por piorar a situação das mesmas. O Brasil é um país que se desenvolveu durante muito tempo baseado em mão escrava, e a maioria desses escravos quando foram libertados não tiveram apoio ou ajuda do governo, e isso fez com que eles tivessem que procurar emprego e ganhar uma miséria para sobreviver, pois se tivesse algum que sabia ler era uma exceção. E essa situação se estendeu para seus descendentes que se fizermos uma conta bem simples, de 1888 para cá foram cerca de 3 ou 4 gerações, muitos ainda vivem na miséria e não conseguem sair de lá pois estão a margem da sociedade. Acredito que a cota racial é uma maneira de reconhecermos que essa situação ocorreu, ela ainda persiste nos nossos tempos causando muitos problemas para os seus descendentes e isso seria uma forma de pagar essa conta que está em aberto até hoje e permita que os descentes de escravos (e negros devido ao racismo existente) consigam virar esse jogo tornar nossa sociedade um pouco mais igualitária. Apesar de reconhecer que muitas igrejas utilizam o dinheiro arrecadado para fazer boas ações, isso nem sempre acontece e em muitos casos o dinheiro é utilizado como forma de enriquecer os seus líderes, controlar o meio político, controlar os meios de comunicação, ganhar poder e controlar as massas. Acredito que o deveria ser recolhido imposto e somente o dinheiro utilizado para o bem da comunidade poderia ser isento de impostos.";m;a31-99;p12
Casamento é uma burocracia necessária para legalizar relações importante para viver em nossa sociedade. Existe cidadão que precisa dela, principalmente em locais onde o Estado não consegue atuar de forma constante como fazendas, ou circunstâncias que ainda desconhece mas que provavelmente existe. Mas a situação relacionada à questão irá piorar muito se um bando de imbecis tiver o porte liberado de forma descabida. A decisão de nascer uma vida no mudo não deve estar na mão do Estado, e sim na decisão de cada ser envolvido na questão, como pai, mãe, avo, avô , tio... Têm casos que concordo com sua necessidade, contudo a injustiça recorrente em nossos tribunais podem ser definitivo na vida de pessoas. A não ser pela fumaça é inofensiva em sua maior parte, a educação deve estar relacionada a seu consumo, é mais um remédio para sociedade do que um perigo, a proibição alimenta uma guerra idiota, que alimenta as pessoas mais podres da sociedade. A maioridade deveria levar em conta outras questões além da idades, capacidade de entender as suas responsabilidades, e histórico de vida até sua idade atual. A maioria das cotas (80%) deveriam estar vinculadas a renda, contudo, acredito em situações como a índios, quilombolas que querem uma distancia da nossa sociedade, e deveriam ter o acesso as universidades com mais facilidades e atenção por parte do Estado. A maioria das igrejas são grandes negócios, se a igreja não movimentar dinheiros em grande quantia deve ser isenta, acredito que hoje em dia virou um entidade de corrupção da fé das pessoas.;m;a31-99;p3
"Casamento é uma união entre duas pessoas que conviverão juntos pelo tempo que convém assumindo responsabilidades e envolvendo sentimentos entre as partes envolvidas, portanto não deve caber a terceiros julgar ou decidir sobre a vida que outras pessoas irão viver. Depende de a pessoa ter um discernimento lógico e humanitário necessário para ter a responsabilidade e sofrer consequências de seus atos e escolhas a partir do momento em que possui em mãos um objeto que agirá provavelmente em definitivo na vida de outra pessoa, sabendo avaliar situações e convivendo responsavelmente com suas repercussões. E dependendo do país, tanto a cultura quanto o nível educacional da população quanto o índice de violência deveriam ser avaliados e levados em consideração para tal decisão. Existem vários motivos e situações que envolvem a escolha da mãe numa decisão como essa. Neste país não há leis que determinam por bom senso o que seria qualificável para tal decisão. As decisões podem ser tanto pelo bem estar da mãe quanto para o feto (caso ele não tenha desenvolvimento necessário do corpo para conseguir viver fora do útero, como por doenças, mal formações e anomalias...), a opção de parto humanitário na vida de muitas pessoas é algo necessário. Principalmente pelo fato de já existir formas ilegais e prejudiciais de abortos que colocam em risco a vida de muitas mulheres. O país e pessoas envolvidas na decisão terão de ser (no mais próximo sentido da palavra) justos, aptos e responsáveis para definir a sentença final na vida de um ser humano. Características a qual este país não é elegível para possuir esse nível de poder. Sinceramente, na minha vida esse assunto e modo de vida não faz parte de meu interesse pessoal. Porém, em questão financeira para o país, a legalização seria algo que afetaria diretamente o comércio ilegal (tráfico) do produto em questão, então se torna uma ideia a se pensar. Acho que deve haver o bom discernimento do Poder Executivo e Judiciário, sendo imprescindível o estudo do caso individualizado com diferenciações a nível de fator externo e psicológico que teve influência direta ou indiretamente o indivíduo a cometer tais atos puníveis e a responsabilidade do mesmo sobre a situação, para melhor decisão. Sendo necessário também a avaliação do grau de punição. Dados que este país não possui condições de investir para possuir esse nível de poder e responsabilidade, no momento. É fato que não há igualdade de oportunidades de estudos para todas as pessoas no país, seja pelo nível econômico, familiar e escolar, que possuem influência direta na vida dos estudantes. Tendo em vista o padrão marcante em pessoas com determinadas características raciais, se tornou um método encontrado para tal diferenciação e ""privilégio"". Não tenho opinião formada sobre o assunto nem tenho informações sobre a forma de renda que uma igreja se utiliza para tal. Mas sei que algumas igrejas específicas se usam de meios ludibriadores e sensacionalistas para conseguirem coletar grandes lucros para a instituição. Portanto cada caso deve ser analisado individualmente, assim como seus propósitos.";f;a24-30;p3
Casamento nada mais é a união de duas pessoas que querem ficar juntas, creio que mesmo duas pessoas do mesmo sexo poderiam se casar. Porém realizar o matrimonio em lugares religiosos cabe ao dogma seguido por cada religião permitir ou não. Isso é algo que pode ser implantado, mas de maneira mais lenta para que não seja qualquer pessoa que tenha acesso à armas de fogo. Creio que primeiramente quem trabalha com segurança (pública ou privada) e posteriormente que já possui porte e tenha passado frequentemente por exames psicológicos. O aborto já é realizado clandestinamente de forma que várias vidas são postas em risco. Creio que clinicas especializadas podem sim realizar o aborto de maneira que a pessoa que se dispõe a realiza-lo esteja segura. Em casos de estupros a rede pública de saúde tem o dever de realizar o aborto nesses casos, pois a vítima não possui culpa do ato ocorrido. Não sou a favor da pena de morte, creio que há outras maneiras do infrator pagar pelos seus atos, até porque a vida que um criminoso tira não irá traze-la de volta com usa morte. Deve existir um sistema no qual o presidiário possa retribuir economicamente para sociedade através de serviços prestados até mesmo dentro dos presídios. Creio que alguns medicamentos são de fato produzidos à base da cannabis, e sua proibição em muitos casos acaba afetando a pesquisa e produção destes medicamentos. Isso seria um ponto positivo. Porém como o governo controlaria e taxaria essa mercadoria para usuários que fumam, talvez seria uma questão mais minuciosa e que poderia levar mais tempo para ser liberada. Primeiramente, temos que pensar em um novo sistema carcerário, atualmente não conseguimos comportar as pessoas nos presídios, imaginem como seria com a redução da maioridade penal. Uma lei deveria punir mais seriamente os menores infratores, porém como forma de amenizar a situação até que esse sistema carcerário seja reestruturado e assim possa de fato reduzir a maioridade penal. Não concordo plenamente com cotas raciais, creio que ainda sim existe racismo, mas que todos que tem acesso à boas escolas tem condições plenas de conseguirem boas vagas. Ao contrário da população mais carente, que de fato merece receber cotas. Todo e qualquer imóvel residencial ou comercial deve pagar seus impostos, e com as igrejas não pode ser diferente. O faturamento desses estabelecimentos é muito alto como qualquer um pode observar, creio que o pagamento de impostos não seja problema nenhum.;m;a24-30;p3
"Como cristã, eu não concordo com o casamento entre pessoas do mesmo sexo, entretanto acho que cada um, como ser humano, tem o direito a felicidade e a viver do modo que desejar, desde que não interfira na vida de terceiros. Na minha opinião, penso que o porte de armas não deveria ser legalizado, pois estatísticas mostram que, mesmo sem a sua legalização, o brasileiro morre por situações desnecessárias com uma relativa frequência. Então, acredito que o porte de armas legalizado aumentaria a quantidade de casos de mortes desnecessárias. Acredito que a mulher tem o direito de fazer o que bem entende com o seu corpo, mas também penso que o feto tem direito à vida. Nesse assunto, tendo a ficar mais ""no muro"", exceto em casos de violência sexual. Na minha opinião, o sistema carcerário e o de execução penal é muito precário no Brasil, uma vez que uma parcela significativa de presos permanece nesses sistemas mais tempo do que o necessário para ser julgado e condenado. Além disso, ainda há casos em que a pessoa que está pagando a sentença não é a real culpada pelo crime, possibilitando, caso haja a legalização, a execução equivocada. Acredito que a legalização da maconha traria mais benefícios do que malefícios, uma vez que a legalidade permitiria maior regulação da qualidade e do consumo da maconha. Além disso, a legitimidade dela também possibilitaria a arrecadação de impostos, evitando que essa verba fosse utilizado em atividades ilícitas. Discordo da redução da maioridade penal, pois, com ela, os jovens entrariam mais cedo em penitenciárias comuns e conviveriam com adultos já desenvolvidos que poderiam ensinar a prática de crimes dos mais variados tipos. Como também, poderiam se aproveitar desses adolescentes física e mentalmente. Outro fator, é que como quase não existem programas de reinserção social, esse jovem perderia a chance de conseguir um bom emprego e diminuiria assim, a perspectiva de uma vida melhor. Assim como, essa redução possibilitaria a retirada prematura do adolescente do ambiente escolar e dificultaria seu retorno, pois, ao completar sua pena, estaria com uma idade avançada para voltar a estudar. Concordo com as cotas raciais entretanto, acredito que ela deva ser utilizada como uma medida paliativa e não definitiva, pois é necessário reformar o ensino e o acesso a ele para que todos possuam condições semelhantes para atingir o ensino superior. Afinal, nada adianta entregar meios para entrar se o estudante não possui ferramentas para se manter, uma vez que, muitos não possuem uma base bem consolidada de conhecimento. A minha opinião é que todos devem pagar impostos e se a isenção for permitida para uma religião deveria ser para todas, pois, segundo a Constituição vivemos uma democracia laica e, portanto, não se deve privilegiar uma crença sobre a outra.";f;a0-23;p45
"Como cristão, vai contra os princípios bíblicos em que acredito, porém como cidadão do país laico, não se pode negar esse direito as pessoas. Entretanto, meu posicionamento é cristão não é uma resposta efetiva para a violência, na verdade facilita ainda mais que isso ocorra e respostas a violência de forma irresponsável com esse fácil acesso as armas Aborto para mim é um assassinato, pois é uma vida perdida. Então sou completamente contra, mesmo sabendo que isso ocorre de forma ilegal e precária. O problema é de conscientização. O problema de criminalização não é devido a não existência de pena de morte e sim do não cumprimento da lei efetivamente e de uma justiça falha. A pena de morte não é uma forma eficaz de resolver isso Não tenho uma posição clara sobre o assunto para dizer os benefícios e malefícios efetivamente, porém se tivesse que opinar, opinaria contra a legalização pois dificulta mais o uso A maioridade penal é uma forma menos efetiva de punir os jovens que deveriam ter métodos de correção mais eficazes. É uma tentativa de minimização de um grande problema, com uma ""solução"" imediata. É um assunto difícil no qual entendo as injustiças sofridas no passado e que tem efeito até hoje, porém parece uma solução injusta de certa forma de corrigir um problema de longa data e tentar minimizar. Semelhante a redução da maioridade penal Acredito que inicialmente as igrejas deveriam ter isenção fiscal, pois não tem fins lucrativos e não são instituições financeiras. Porém, deveria haver uma mudança na lei, pois nos dias de hoje, claramente temos ""igrejas"" que tem fins lucrativos e fazem uso dessa isenção para lucrar muito mais";m;a0-23;p12
"Como direito individual, cada ser humano tem o direito de escolha de preferência de gênero, assim como direito ao matrimônio. Logo é dever da lei em cumprir o direito e liberdade de livre arbítrio, do indivíduo em escolher com quem quer casar o porte de arma é uma reflexão do precário sistema educacional instaurado no Brasil, conjuntamente com o seu decadente sistema carcerário. o porte de arma está associado ao medo relacionado à ineficiência do controle do governo sobre a impunidade e a ""necessidade"" da justiça pelas próprias mãos. A legalização do aborto está estreitamente ligado ao direito da mulher. Mulheres, por portarem e gestarem os fetos, deem ter o direito a escolha sobre o que deve ou não acontecer com seus corpos. em casos de estupro, torna-se necessário o aborto. pena de morte é outra solução de curto prazo que é resultado de uma política que visa resolver um problema superficial. Pena de morte está ligado ao decadente sistema penitenciário, que visa a pena de morte como solução dos problemas de super Inchaço das prisões. o consumo e o tráfico de drogas é um das razões dos principais conflitos armados com a polícia. Milhares de crianças e adolescentes vêm o tráfico, principalmente através do PCC, uma forma de prestígio social. com a legalização da maconha, além do governo poder controlar o consumo e venda da droga, poderá se beneficiar dos impostos arrecadado. A legalização reduzirá, também a violência e o crime. Redução da maioridade penal é um reflexo da decadente sistema educacional. vários adolescentes e jovens, relacionam desde cedo com o estado secundário, associando como algo melhor que a busca ao invés da educação básica. a criminalidade, portanto aumenta, resultando a necessidade da redução da maioridade penal. O problema principal está no sistema educacional. Cotas raciais em faculdades são soluções de curto prazo que, de fato irá beneficiar vários alunos de diversas classes sociais. porém, ao longo prazo, este sistema de cotas resultará em uma grande rombo em relação a qualidade à educação básica entre escolas particulares e escolas públicas. As igrejas é umas das instituições que mais cresce no pais. responsável por influenciar e reunir grande quantidade de pessoas., continua sendo um dos maiores rombos fiscal da legislação. portanto, deve-se ser cobrada os impostos sobre a igreja.";m;a0-23;p45
Como pode o Estado intervir nessa questão? Não pode! Trata-se de uma escolha individual sem consequências diretas para a comunidade. A proibição seria algo fora de questão. Em tese, deveria ser permitido. No entanto, devido às consequências desse porte para a comunidade e o nível baixo de educação da sociedade, não pode ser permitido. Como pode o Estado intervir nessa questão? Não pode! Trata-se de uma escolha individual sem consequências diretas para a comunidade. A proibição seria algo fora de questão. Crimes como corrupção e roubo de dinheiro público causam mortes. Pessoas morrem nos hospitais porque algum político roubou o dinheiro. Se houvesse pena de morte, ele estaria condenado e morto. Como pode o Estado intervir nessa questão? Não pode! Trata-se de uma escolha individual sem consequências diretas para a comunidade. A proibição seria algo fora de questão. De nada vai adiantar reduzir a idade penal sem mudar outras situações como o cárcere e como a sociedade enxerga o indivíduo preso. Outras ações teriam melhor efeito. A cota deveria ser por faixa de renda. Se é evidente que negros merecem cotas por estarem à margem da renda mais alta por razões históricas, eles seriam enquadrados naturalmente na cota por renda. Igrejas nem deveriam existir. Uma vez existindo, devem pagar imposto como qualquer outra atividade, ainda mais que é nítido que aferem lucros com o que fazem nesses locais.;m;a31-99;p3
"Complicada essa questão, pois o casamento foi a primeira instituição estabelecida pela sociedade e essa é composta por um homem e uma mulher, e todos tem o mesmo direito de estabelecer essa instituição entre homem e mulher. Não há discriminação alguma nisso, o direito é de todos. A questão que provavelmente entra é alterar essa instituição e ela passar a não mais ser constituída por um homem e por uma mulher, o que eu não acho válido. O direito que os gays precisam reivindicar são os direitos civis e uma nova categorização/instituição para eles. Acredito que se porte de arma traz muito mais benefícios do que malefícios, por que não. Mas acredito que seja um tema que precise de muito cuidado e estudo, legalizar porte de armas não significa que qualquer pessoa pode portar armas, mas pessoas treinadas e muito bem preparadas. De todos os assuntos, esse é o que mais me incomoda, triste ver que os argumentos a favor da legalização do aborto são em sua grande maioria egoístas. Correr o risco de tirar o dom da vida de uma pessoa é um crime. Uns dizem que em caso de estupro é perfeitamente justo realizar o aborto, mas justo em relação a quem? Por que conheço pessoas que nasceram por consequência de um estupro que hoje são gratos pelo dom da vida. Na verdade, ainda não conheci nenhum relato(claro que deve haver algum) de uma pessoa que preferia não ter a vida do que saber que é fruto de um estupro. Acho válido desde que haja estudos que comprovem que isso melhore a vida da sociedade, pois vai acontecer casos de pessoas inocentes receberem pena de morte. É um caso difícil de ser discutido, de um lado, o risco de pessoas inocentes morrerem, do outro, se há ganho para sociedade, de perder esse ganho. Mas minha opinião precisa de estudo, se país que tem pena de morte mostram uma melhoria para sociedade sou a favor, caso contrário, vamos buscar melhores meios para que a sociedade não precise atacar as consequências e sim as causas. Isso é um pensamento bem pragmático, é claro que existem questões éticas e religiosas, mas acredito que o importante mesmo é na prática. Não faço ideia dos benefícios ou dos malefícios que podem gerar com a legalização da maconha, acredito que o que os estudos(sem viés) dizem seria melhor seguir. Problema no final é o ""viés"", como todos os estudos, a sua maioria vem com o viés do autor, logo, é muito complicado ter uma opinião a respeito. Não acredito que essa é uma solução para a criminalidade, acho que devemos transformar as escolas, transformar a cultura das pessoas humildes que não tem perspectivas de futuro e diminuir a dificuldade dessas pessoas de entrarem no mercado de trabalho. Triste é saber que há pessoas que pensam que traficar, roubar, etc. é 100% uma simples decisão de escolha. A equação é simples: Branco tem mais oportunidades hoje não por conta da cor da pele, mas por conta da estrutura social construída a muitos anos atrás, da mesma forma, os negros tem menos oportunidades não por conta da pele, mas pela construção social adquirida em séculos de desvantagens.   Criar oportunidades para os negros terem em detrimento de diminuir a oportunidade do branco é questão de igualar as construções sociais criadas a séculos atrás.  Negar esse direito aos negros é negar nosso passado... E dizer que ter cota significa dizer que os negros são inferiores é idiotice, pois a questão não é a capacidade/inteligência, mas a má construção social do indivíduo que gera prejuízos intelectual. Não faz sentido cobrar imposto duas vezes, mesmo que na cabeça de alguns faça, isso é um dinheiro doado, a pessoa ajuda porque muitas vezes acredita que o dinheiro doado vai ajudar pessoas ou que ela vai ser abençoada por isso(ela tem o direito de pensar assim, apesar de eu achar essa pessoa ignorante, mas é um direito dela).  Infelizmente as igrejas sérias que realmente ajudam a sociedade seriam de fato as únicas prejudicadas, pois pagariam impostos e perderiam um pouco do poder de ajudar a sociedade e as que não ajudam a sociedade são as que vão(probabilidade muito grande) sonegar os impostos.";m;a24-30;p45
Comum, acho que o casamento deve ser uma união de afeto, não necessariamente ter um padrão instituído pelo Estado, afinal, todos somos livres pela lei Se hoje em dia, sem porte de armas, o índice criminal cresce cada vez mais todos os dias, não é imaginável um cenário mais amigável com o porte de armas legalizado Acredito que a partir do momento que ocorre a fecundação, o ser vivo começa a se desenvolver. No caso, um ser humano estaria se formando, logo o aborto não seria um ato comum, e sim um crime (com exceção) A pena de morte é um assunto que mexe com a cabeça do ser humano. Não podemos nos deixar levar pelo emocional, estaríamos contrariando a proteção que devemos dar ao ser humano. Talvez a legalização seja positiva a partir do momento que o uso da planta não seja atrelado a outras substâncias como outras drogas e lixos que são misturados com a planta Acredito que a partir dos 14 anos, o jovem já possui autonomia para decidir o que fazer, e tudo é influenciado a partir de uma boa orientação e estrutura familiar bem constituída As cotas para alunos da rede pública passa a ser aceitável pois o sistema de ensino público é falho, e o governo tenta equilibrar a balança. Mas a cor da pele não define nossa capacidade a ponto de uma medida tentar equalizar o conhecimento As igrejas são instituições, que ocupam espaço em cidades, dão gasto para o Estado, e o mesmo não deve olhar essas instituições com olhos diferentes, a ponto de isentar de impostos;m;a0-23;p3
Concordo totalmente, acredito que deve ser um direito de todos casar com quem desejar sem distinção de orientação sexual, gênero, raça, etc. Adquirindo dessa forma os direitos do casamento. Acredito que ninguém além das forças policiais e de segurança deveriam ter acesso a armas. Porém ainda tenho ressalvas em alguns casos e pouca informação pra ter a opinião completamente formada. Concordo totalmente. Acredito que a legalização do aborto é a garantia do direito da mulher sobre o próprio corpo, e sobre a decisão de seguir adiante com uma gestação indesejada que muda totalmente sua vida. Além de facilitar o acesso ao aborto seguro à mulheres negras e pobres que são as principais vítimas de abortos mal realizados. Acredito que o estado não tem o direito de tirar a vida de qualquer ser, por mais que ele tenha cometido crimes graves. Porém tenho ressalvas quanto ao estado ter gastos mantendo criminosos a vida toda em regime fechado. Concordo totalmente com a legalização do consumo e comércio da maconha. Acredito que o usuário não deve ser tratado como criminoso, da mesma forma como acontece com o álcool, quando viciado na droga ele deve ser tratado como uma pessoa doente. Não acho que a redução da maioridade penal solucione qualquer problema de segurança. Pelo contrário, existem dados que comprovam que o índice de reincidência ao crime de casas de amparo à jovens infratores é menor do que o índice de presídios. Na situação atual do país acredito que as cotas raciais são muito importantes para uma correção histórica que culmina na dificuldade de acesso à educação por pessoas negras e indígenas. Não tenho uma opinião muito formada. Acredito que depende muito da situação da igreja, porém caso a igreja faça arrecadações em valores altos deveria pagar impostos sobre seus imóveis ou renda.;f;a24-30;p12
Considerando o casamento como o contrato entre duas pessoas (e talvez mais?) não há motivo nenhum para ser ilegal. Todos os direitos de um casal heteroafetivo deveriam ser acessíveis aos homoafetivos. Um homem não poder entrar no quarto de hospital de seu parceiro e dar seu suporte em situações mais complicadas onde “apenas família” é permitido, é cruel Só aumentariam os casos de violência e mortes, acidentais ou não. Talvez algumas pessoas consigam se defender de um assalto ou coisa do tipo, mas em contrapartida temos aquelas pessoas que, numa briga de trânsito, se armadas, não pensariam duas vezes. Pessoas que não sabem lidar com algum tipo de frustração são perigosíssimas com armas Caso a mulher não queira a criança ela pode crescer num ambiente violento, sem carinho. Caso a mulher não tenha condições de criar, entrando em dívidas e acabando com todo seu dinheiro para cuidar da criança, não vai ser capaz de proporcionar à criança uma infância plena, com consequências imprevisíveis Nosso sistema legal não é robusto e eficiente o suficiente pra nos garantir que todas as pessoas são julgadas corretamente. Sem contar toda a questão racial e de pessoas na margem da sociedade. Pessoas negras recebendo pena maior que os brancos pros mesmo crimes. Como garantir que a pena de morte seria aplicada justamente? Daria pra cobrar impostos sob o consumo, como é feito com tabaco e cerveja (que, inclusive, tem, ambos, efeitos mais destrutivos que a maconha) e ainda acabar com o dinheiro gasto na guerra com traficantes Assim como a pena de morte, nosso sistema judicial não é eficiente o suficiente e diminuir a maioridade penal só ia prejudicar uma parcela da sociedade: negros e pobres que moram em áreas mais precárias e com menos oportunidades Os negros vem de famílias descendentes de escravos e outras pessoas que vieram para o Brasil com nada. Nem todos tiveram a oportunidade de “se reerguer” e a forma mais simples de conseguir essa “ascensão” é com a educação. A maioria deles precisa ir para escolas públicas no ensino fundamental e médio, que, infelizmente, não prepara os alunos para o vestibular. Ou seja, os que não tem dinheiro para pagar escolas particulares que realmente preparam o aluno para o vestibular, tem menos chances de passar pela prova. Com os estudos é fácil ver que em sua grande maioria são negros, nada mais justo que nivelar as oportunidades onde se é possível Religião tem sua importância, mas a isenção fiscal não faz sentido nenhum. É um dinheiro que poderia ser arrecadado pro governo e ser usado para coisas que realmente ajudassem comunidades mais carentes, projetos sociais ou educacionais.;m;a24-30;p12
Considero muito válida a união legal entre duas pessoas do mesmo sexo, pois casar-se é uma escolha e direito de todos os indivíduos sem distinção de qualquer natureza. Uma família de verdade é formada por laços de amor, respeito, cooperação, etc. O porte de armas para pessoas comuns pode agir tanto como um mecanismo de “proteção” quanto como um mecanismo de matança. Os indivíduos poderiam fazer justiça com as próprias mãos – matando pessoas consideradas criminosas – aumentando o número de mortes, inclusive de pessoas inocentes. Sou a favor do aborto somente em caso de estupro ou de acefalia do feto. Uma gravidez pode ser prevenida com a utilização de métodos contraceptivos acessíveis nos postos de saúde – camisinha, pílula anticoncepcional e pílula do dia seguinte. Sim, a mulher tem poder sobre o próprio corpo, entretanto, um feto é uma vida a parte. Ameaçar tirar a vida de indivíduos infratores não reduz o número de crimes no país. A ideia que se passa é que a pessoa “não tem mais jeito” e precisa ser eliminada como se fosse um objeto defeituoso. Pessoas sofrem transformação continuamente, assim, se tiverem tratamento psicológico que os auxiliem na superação de fatos passados e os ajude a enxergar novas possibilidades das quais ao invés de causar danos traga benefícios para todos os indivíduos da sociedade. Sou contra a legalização do uso da maconha, pois convivo com um usuário, de modo que sei o quanto é complicado lidar com as consequências do uso de drogas. A família inteira é afetada, principalmente o lar de convívio. Desde criança tive que passar por situações nada agradáveis, incluindo sair da minha própria casa. Encarcerar jovens infratores com adultos perigosos e mais experientes no que diz respeito ao mundo do crime fará com que tais jovens se apropriem cada vez mais de como se pratica delitos. Eles não terão apoio numa cela convencional como tem em um abrigo de recuperação de menores infratores, os quais têm acesso à educação e auxílio psicológico que os ajude a inseri-los na sociedade novamente. As cotas raciais são essenciais enquanto não conseguimos alcançar uma educação pública de qualidade acessível a todos. Tais cotas são direito dos indivíduos negros e um dever do Estado e da sociedade para começar a reparar as injustiças impostas sobre eles. Sou contra a isenção dos impostos para igrejas, pois já que o Brasil é um Estado Laico a isenção de impostos deveria contemplar todas as entidades religiosas – independente do segmento – o que seria um número grande de entidades a serem atendidas, assim, o Estado não teria como arcar com os impostos de todas entidades.;f;a0-23;p3
